month_year,region,country,type_of_crude,volume,total_value,cif_price,prop_of_total_imports
2005-01-01,Middle East,Iran,Other Iran Crude,4749,164384,34.62,0.0123
2005-01-01,Middle East,Iran,Iranian Heavy,13074,456183,34.89,0.0339
2005-01-01,Middle East,Iran,Iranian Light,7033,266102,37.83,0.0182
2005-01-01,Middle East,Iraq,Basrah Light,3111,89518,28.77,0.008100000000000001
2005-01-01,Middle East,Kuwait,Kuwait Blend,5377,193829,36.05,0.0139
2005-01-01,Middle East,Saudi Arabia,Arab Light,24297,965545,39.74,0.0629
2005-01-01,Middle East,Saudi Arabia,Arab Medium,3984,137463,34.51,0.0103
2005-01-01,Middle East,Saudi Arabia,Arab Heavy,6613,211725,32.02,0.0171
2005-01-01,Middle East,Saudi Arabia,Berri (Extra Light),2846,110202,38.72,0.0074
2005-01-01,Middle East,Syria,Souedie,1382,39738,28.76,0.0036
2005-01-01,Middle East,Syria,Syria Light,4320,181631,42.04,0.011200000000000002
2005-01-01,Africa,Algeria,Saharan Blend,15684,704628,44.93,0.0406
2005-01-01,Africa,Algeria,Other Algeria Crude,1818,83397,45.87,0.004699999999999999
2005-01-01,Africa,Angola,Cabinda,2868,115330,40.21,0.0074
2005-01-01,Africa,Angola,Other Angola Crude,1993,80064,40.17,0.0052
2005-01-01,Africa,Cameroon,Cameroon Crude,2039,63655,31.22,0.0053
2005-01-01,Africa,Egypt,Heavy (<30o API),69,2760,39.97,2e-4
2005-01-01,Africa,Egypt,Medium/Light (30-40o),322,14258,44.28,8e-4
2005-01-01,Africa,Gabon,Other Gabon Crude,483,16656,34.5,0.0013
2005-01-01,Africa,Libya,Medium (30-40o),19454,823574,42.33,0.0504
2005-01-01,Africa,Libya,Heavy (<30o API),1671,61044,36.54,0.0043
2005-01-01,Africa,Libya,Light (>40o),12087,518181,42.87,0.0313
2005-01-01,Africa,Nigeria,Medium (<33o),2027,88216,43.51,0.0053
2005-01-01,Africa,Nigeria,Light (33-45o),10618,461301,43.45,0.0275
2005-01-01,Africa,Nigeria,Condensate (>45o),1942,90233,46.46,0.005
2005-01-01,Africa,Other African Countries,Other Africa Crude,2169,80932,37.31,0.005600000000000001
2005-01-01,Africa,Tunisia,Tunisia Crude,657,24357,37.06,0.0017000000000000001
2005-01-01,FSU,Azerbaijan,Azerbaijan Crude,1716,73411,42.78,0.0044
2005-01-01,FSU,Azerbaijan,Azeri Light,919,39992,43.52,0.0024
2005-01-01,FSU,Kazakhstan,Kazakhstan Crude,13795,559021,40.52,0.035699999999999996
2005-01-01,FSU,Other FSU countries,Other FSU Crude,5974,233069,39.01,0.0155
2005-01-01,FSU,Russian Federation,Other Russian Fed. Crude,50570,1981360,39.18,0.131
2005-01-01,FSU,Russian Federation,Urals,58334,2276372,39.02,0.15109999999999998
2005-01-01,FSU,Ukraine,Ukraine Crude,247,10435,42.3,6e-4
2005-01-01,Europe,Denmark,Denmark Crude,8272,359683,43.48,0.021400000000000002
2005-01-01,Europe,Norway,Statfjord,12047,541114,44.92,0.031200000000000002
2005-01-01,Europe,Norway,Ekofisk,14830,649973,43.83,0.0384
2005-01-01,Europe,Norway,Other Norway Crude,21928,967899,44.14,0.056799999999999996
2005-01-01,Europe,Norway,Oseberg,6980,305080,43.71,0.0181
2005-01-01,Europe,Norway,Gullfaks,6545,293600,44.86,0.017
2005-01-01,Europe,Other European countries,Other Europe Crude,1154,52014,45.07,0.003
2005-01-01,Europe,United Kingdom,Flotta,679,29780,43.87,0.0018
2005-01-01,Europe,United Kingdom,Forties,9172,412797,45.01,0.023799999999999998
2005-01-01,Europe,United Kingdom,Brent Blend,3067,135692,44.24,0.0079
2005-01-01,Europe,United Kingdom,Other UK Crude,8424,345641,41.03,0.0218
2005-01-01,America,Brazil,Brazil,1219,38333,31.45,0.0032
2005-01-01,America,Mexico,Isthmus,1000,42258,42.27,0.0026
2005-01-01,America,Mexico,Maya,5032,149773,29.76,0.013000000000000001
2005-01-01,America,Venezuela,Heavy (17-22o),456,14260,31.27,0.0012
2005-01-01,America,Venezuela,Extra Heavy (<17o),1018,18089,17.77,0.0026
2005-02-01,Middle East,Iran,Other Iran Crude,1018,41199,40.47,0.0029
2005-02-01,Middle East,Iran,Iranian Heavy,14655,579022,39.51,0.0421
2005-02-01,Middle East,Iran,Iranian Light,5721,227852,39.83,0.016399999999999998
2005-02-01,Middle East,Iraq,Basrah Light,6382,239190,37.48,0.0183
2005-02-01,Middle East,Iraq,Other Iraq Crude,575,21844,37.99,0.0017000000000000001
2005-02-01,Middle East,Kuwait,Kuwait Blend,2339,87181,37.27,0.0067
2005-02-01,Middle East,Saudi Arabia,Arab Light,22121,947594,42.84,0.0635
2005-02-01,Middle East,Saudi Arabia,Arab Medium,3829,148305,38.74,0.011000000000000001
2005-02-01,Middle East,Saudi Arabia,Arab Heavy,4358,154726,35.51,0.0125
2005-02-01,Middle East,Saudi Arabia,Berri (Extra Light),2087,93461,44.78,0.006
2005-02-01,Middle East,Syria,Souedie,1623,55339,34.09,0.004699999999999999
2005-02-01,Middle East,Syria,Syria Light,3118,139669,44.8,0.0089
2005-02-01,Africa,Algeria,Saharan Blend,10854,514747,47.42,0.031200000000000002
2005-02-01,Africa,Algeria,Other Algeria Crude,1172,54839,46.8,0.0034000000000000002
2005-02-01,Africa,Angola,Cabinda,2065,88469,42.85,0.0059
2005-02-01,Africa,Angola,Other Angola Crude,961,30465,31.69,0.0028000000000000004
2005-02-01,Africa,Cameroon,Cameroon Crude,1385,51302,37.05,0.004
2005-02-01,Africa,Egypt,Heavy (<30o API),539,18386,34.13,0.0015
2005-02-01,Africa,Egypt,Medium/Light (30-40o),770,32567,42.31,0.0022
2005-02-01,Africa,Gabon,Other Gabon Crude,610,23089,37.85,0.0018
2005-02-01,Africa,Libya,Medium (30-40o),16582,746971,45.05,0.047599999999999996
2005-02-01,Africa,Libya,Heavy (<30o API),1196,48539,40.59,0.0034000000000000002
2005-02-01,Africa,Libya,Light (>40o),8049,364824,45.33,0.0231
2005-02-01,Africa,Nigeria,Medium (<33o),1947,89498,45.96,0.005600000000000001
2005-02-01,Africa,Nigeria,Light (33-45o),9363,401625,42.89,0.0269
2005-02-01,Africa,Nigeria,Condensate (>45o),914,42291,46.28,0.0026
2005-02-01,Africa,Other African Countries,Other Africa Crude,955,43311,45.34,0.0027
2005-02-01,Africa,Tunisia,Tunisia Crude,781,30324,38.83,0.0022
2005-02-01,FSU,Azerbaijan,Azerbaijan Crude,3146,143460,45.6,0.009000000000000001
2005-02-01,FSU,Azerbaijan,Azeri Light,832,36274,43.6,0.0024
2005-02-01,FSU,Kazakhstan,Kazakhstan Crude,14530,613254,42.21,0.0417
2005-02-01,FSU,Other FSU countries,Other FSU Crude,6277,257919,41.09,0.018000000000000002
2005-02-01,FSU,Russian Federation,Other Russian Fed. Crude,48773,1994753,40.9,0.14
2005-02-01,FSU,Russian Federation,Urals,55092,2261013,41.04,0.15810000000000002
2005-02-01,FSU,Ukraine,Ukraine Crude,406,17670,43.57,0.0012
2005-02-01,Europe,Denmark,Denmark Crude,7993,356887,44.65,0.0229
2005-02-01,Europe,Norway,Statfjord,11099,510384,45.98,0.0319
2005-02-01,Europe,Norway,Ekofisk,13838,637116,46.04,0.0397
2005-02-01,Europe,Norway,Other Norway Crude,15194,697515,45.91,0.0436
2005-02-01,Europe,Norway,Oseberg,5805,273557,47.12,0.0167
2005-02-01,Europe,Norway,Gullfaks,6818,314796,46.17,0.0196
2005-02-01,Europe,Other European countries,Other Europe Crude,1643,73100,44.49,0.004699999999999999
2005-02-01,Europe,United Kingdom,Forties,8291,384452,46.37,0.023799999999999998
2005-02-01,Europe,United Kingdom,Brent Blend,1207,55782,46.22,0.0034999999999999996
2005-02-01,Europe,United Kingdom,Other UK Crude,10511,445140,42.35,0.0302
2005-02-01,America,Mexico,Maya,7199,255922,35.55,0.0207
2005-02-01,America,Venezuela,Medium (22-30o),1576,46771,29.68,0.0045000000000000005
2005-02-01,America,Venezuela,Extra Heavy (<17o),2217,46815,21.11,0.0064
2005-03-01,Middle East,Iran,Other Iran Crude,1035,46245,44.68,0.0028000000000000004
2005-03-01,Middle East,Iran,Iranian Heavy,11555,518429,44.87,0.031200000000000002
2005-03-01,Middle East,Iran,Iranian Light,6082,282737,46.49,0.016399999999999998
2005-03-01,Middle East,Iraq,Basrah Light,5270,238683,45.29,0.014199999999999999
2005-03-01,Middle East,Iraq,Other Iraq Crude,2177,83520,38.37,0.0059
2005-03-01,Middle East,Kuwait,Kuwait Blend,3687,154858,42.01,0.009899999999999999
2005-03-01,Middle East,Saudi Arabia,Arab Light,17526,858038,48.96,0.0473
2005-03-01,Middle East,Saudi Arabia,Arab Medium,3354,150426,44.85,0.009000000000000001
2005-03-01,Middle East,Saudi Arabia,Other Saudi Arabia Crude,630,34005,53.96,0.0017000000000000001
2005-03-01,Middle East,Saudi Arabia,Arab Heavy,5970,250153,41.9,0.0161
2005-03-01,Middle East,Saudi Arabia,Berri (Extra Light),4047,210054,51.9,0.0109
2005-03-01,Middle East,Syria,Souedie,2627,105878,40.3,0.0070999999999999995
2005-03-01,Middle East,Syria,Syria Light,2943,152087,51.69,0.0079
2005-03-01,Africa,Algeria,Saharan Blend,12694,674712,53.15,0.0342
2005-03-01,Africa,Algeria,Other Algeria Crude,1893,103019,54.43,0.0051
2005-03-01,Africa,Angola,Cabinda,1995,106311,53.29,0.0054
2005-03-01,Africa,Angola,Other Angola Crude,1000,51411,51.42,0.0027
2005-03-01,Africa,Cameroon,Cameroon Crude,1934,87784,45.38,0.0052
2005-03-01,Africa,Congo,Congo Crude,898,42393,47.19,0.0024
2005-03-01,Africa,Egypt,Medium/Light (30-40o),635,33195,52.28,0.0017000000000000001
2005-03-01,Africa,Gabon,Other Gabon Crude,1316,62702,47.64,0.0034999999999999996
2005-03-01,Africa,Libya,Medium (30-40o),17886,901131,50.38,0.0482
2005-03-01,Africa,Libya,Heavy (<30o API),1583,75304,47.57,0.0043
2005-03-01,Africa,Libya,Light (>40o),9370,472898,50.47,0.0253
2005-03-01,Africa,Nigeria,Medium (<33o),2370,130725,55.16,0.0064
2005-03-01,Africa,Nigeria,Light (33-45o),5868,314780,53.64,0.0158
2005-03-01,Africa,Other African Countries,Other Africa Crude,3433,180174,52.48,0.009300000000000001
2005-03-01,Africa,Tunisia,Tunisia Crude,1016,50005,49.21,0.0027
2005-03-01,FSU,Azerbaijan,Azerbaijan Crude,1145,59866,52.3,0.0031
