year,region,country,type_of_crude,volume,total_value,cif_price,prop_of_total_imports
2005,Middle East,Abu Dhabi,Murban,923,61738,66.88,2e-4
2005,Middle East,Iran,Other Iran Crude,45991,2253597,49,0.0102
2005,Middle East,Iran,Iranian Heavy,149418,7161550,47.93,0.0331
2005,Middle East,Iran,Iranian Light,56830,2767048,48.69,0.0126
2005,Middle East,Iraq,Basrah Light,64850,3073713,47.4,0.0144
2005,Middle East,Iraq,Kirkuk,5976,326548,54.64,0.0013
2005,Middle East,Iraq,Other Iraq Crude,20541,979905,47.71,0.0046
2005,Middle East,Kuwait,Kuwait Blend,54994,2614594,47.54,0.012199999999999999
2005,Middle East,Saudi Arabia,Arab Light,267836,13750412,51.34,0.0594
2005,Middle East,Saudi Arabia,Arab Medium,56939,2777912,48.79,0.0126
2005,Middle East,Saudi Arabia,Other Saudi Arabia Crude,730,38648,52.91,2e-4
2005,Middle East,Saudi Arabia,Arab Heavy,82703,3828118,46.29,0.0183
2005,Middle East,Saudi Arabia,Berri (Extra Light),30418,1607614,52.85,0.0067
2005,Middle East,Syria,Souedie,26033,1143088,43.91,0.0058
2005,Middle East,Syria,Syria Light,41128,2181439,53.04,0.0091
2005,Africa,Algeria,Saharan Blend,134507,7400495,55.02,0.0298
2005,Africa,Algeria,Other Algeria Crude,24330,1367990,56.23,0.0054
2005,Africa,Angola,Cabinda,31378,1695053,54.02,0.006999999999999999
2005,Africa,Angola,Other Angola Crude,16818,888980,52.86,0.0037
2005,Africa,Cameroon,Cameroon Crude,23465,1203812,51.3,0.0052
2005,Africa,Congo,Congo Crude,4581,248558,54.26,0.001
2005,Africa,Congo (DR),Congo (DR) Crude,1007,51444,51.08,2e-4
2005,Africa,Egypt,Heavy (<30o API),4800,229493,47.81,0.0011
2005,Africa,Egypt,Medium/Light (30-40o),6105,325236,53.27,0.0014000000000000002
2005,Africa,Gabon,Other Gabon Crude,4532,205060,45.25,0.001
2005,Africa,Libya,Medium (30-40o),221675,11885096,53.61,0.049100000000000005
2005,Africa,Libya,Heavy (<30o API),19265,967524,50.22,0.0043
2005,Africa,Libya,Light (>40o),130970,7160789,54.67,0.028999999999999998
2005,Africa,Nigeria,Medium (<33o),24194,1370401,56.64,0.0054
2005,Africa,Nigeria,Light (33-45o),113096,6441190,56.95,0.025099999999999997
2005,Africa,Nigeria,Condensate (>45o),6624,337971,51.02,0.0015
2005,Africa,Other African Countries,Other Africa Crude,36352,1869525,51.43,0.008100000000000001
2005,Africa,Tunisia,Tunisia Crude,9069,463520,51.11,0.002
2005,Australia,Papua New Guinea,Papua New Guinea Crude,3246,187063,57.63,7.000000000000001e-4
2005,FSU,Azerbaijan,Azerbaijan Crude,37414,2106460,56.3,0.0083
2005,FSU,Azerbaijan,Azeri Light,10695,585556,54.75,0.0024
2005,FSU,Kazakhstan,Kazakhstan Crude,194231,10369711,53.39,0.0431
2005,FSU,Other FSU countries,Other FSU Crude,61729,3096321,50.16,0.0137
2005,FSU,Russian Federation,Other Russian Fed. Crude,585557,29185630,49.84,0.1298
2005,FSU,Russian Federation,Urals,719671,36052944,50.1,0.15960000000000002
2005,FSU,Ukraine,Ukraine Crude,1126,54892,48.73,2e-4
2005,Europe,Denmark,Denmark Crude,97678,5211189,53.35,0.0217
2005,Europe,Norway,Statfjord,126633,6969705,55.04,0.0281
2005,Europe,Norway,Ekofisk,166410,9116543,54.78,0.0369
2005,Europe,Norway,Other Norway Crude,243082,13296489,54.7,0.053899999999999997
2005,Europe,Norway,Oseberg,82387,4617097,56.04,0.0183
2005,Europe,Norway,Gullfaks,87695,4862429,55.45,0.0194
2005,Europe,Other European countries,Other Europe Crude,22272,1176865,52.84,0.0049
2005,Europe,United Kingdom,Flotta,4923,254733,51.74,0.0011
2005,Europe,United Kingdom,Forties,83497,4577770,54.83,0.018500000000000003
2005,Europe,United Kingdom,Brent Blend,20126,1097898,54.55,0.0045000000000000005
2005,Europe,United Kingdom,Other UK Crude,110276,5640683,51.15,0.024399999999999998
2005,America,Brazil,Brazil,18218,809230,44.42,0.004
2005,America,Mexico,Olmeca,2142,131786,61.52,5e-4
2005,America,Mexico,Isthmus,10168,531694,52.29,0.0023
2005,America,Mexico,Maya,63715,2631326,41.3,0.0141
2005,America,Other Latin America countries,Other Latin America Crude,401,13770,34.32,1e-4
2005,America,United States,Other US Crude,681,41057,60.26,2e-4
2005,America,Venezuela,Medium (22-30o),10922,498877,45.68,0.0024
2005,America,Venezuela,Heavy (17-22o),3817,164362,43.06,8e-4
2005,America,Venezuela,Light (>30o),4775,277361,58.08,0.0011
2005,America,Venezuela,Extra Heavy (<17o),18823,539305,28.65,0.0042
2006,Middle East,Abu Dhabi,Umm Shaif,1011,63972,63.26,2e-4
2006,Middle East,Abu Dhabi,Lower Zakum,4084,269866,66.08,9e-4
2006,Middle East,Abu Dhabi,Murban,4310,284820,66.08,0.001
2006,Middle East,Abu Dhabi,Upper Zakum,2036,115845,56.91,5e-4
2006,Middle East,Iran,Other Iran Crude,41593,2494812,59.98,0.009300000000000001
2006,Middle East,Iran,Iranian Heavy,130119,7740739,59.49,0.028999999999999998
2006,Middle East,Iran,Iranian Light,76905,4865848,63.27,0.0171
2006,Middle East,Iraq,Basrah Light,92050,5424634,58.93,0.020499999999999997
2006,Middle East,Iraq,Kirkuk,1234,74372,60.29,3e-4
2006,Middle East,Iraq,Other Iraq Crude,24040,1391178,57.87,0.0054
2006,Middle East,Kuwait,Kuwait Blend,51059,3017310,59.09,0.011399999999999999
2006,Middle East,Neutral Zone,Offshore (Khafji/Hout),1182,70334,59.5,3e-4
2006,Middle East,Oman,Oman,1189,69247,58.22,3e-4
2006,Middle East,Saudi Arabia,Arab Light,242255,14927011,61.62,0.054000000000000006
2006,Middle East,Saudi Arabia,Arab Medium,48791,2882029,59.07,0.0109
2006,Middle East,Saudi Arabia,Other Saudi Arabia Crude,599,33625,56.16,1e-4
2006,Middle East,Saudi Arabia,Arab Heavy,63150,3632585,57.52,0.0141
2006,Middle East,Saudi Arabia,Berri (Extra Light),15793,1020649,64.63,0.0034999999999999996
2006,Middle East,Syria,Souedie,29759,1650471,55.46,0.0066
2006,Middle East,Syria,Syria Light,31506,2058918,65.35,0.006999999999999999
2006,Middle East,Yemen,Other Yemen Crude,440,32120,73,1e-4
2006,Middle East,Yemen,Marib Light,196,14835,75.65,0
2006,Africa,Algeria,Saharan Blend,93978,6214242,66.12,0.0209
2006,Africa,Algeria,Other Algeria Crude,16166,1087236,67.25,0.0036
2006,Africa,Angola,Cabinda,25195,1635338,64.91,0.005600000000000001
2006,Africa,Angola,Other Angola Crude,10163,620625,61.07,0.0023
2006,Africa,Cameroon,Cameroon Crude,28111,1813228,64.5,0.0063
2006,Africa,Congo,Congo Crude,3647,228998,62.78,8e-4
2006,Africa,Egypt,Heavy (<30o API),16387,906915,55.34,0.0037
2006,Africa,Egypt,Medium/Light (30-40o),11216,734415,65.48,0.0025
2006,Africa,Gabon,Rabi/Rabi Kounga,599,38602,64.47,1e-4
2006,Africa,Gabon,Other Gabon Crude,7252,424949,58.6,0.0016
2006,Africa,Libya,Medium (30-40o),205264,13389443,65.23,0.0458
2006,Africa,Libya,Heavy (<30o API),18209,1098026,60.3,0.0040999999999999995
2006,Africa,Libya,Light (>40o),156316,10240422,65.51,0.0348
2006,Africa,Nigeria,Medium (<33o),34519,2278719,66.01,0.0077
2006,Africa,Nigeria,Light (33-45o),107678,7428720,68.99,0.024
2006,Africa,Nigeria,Condensate (>45o),3598,244559,67.96,8e-4
2006,Africa,Other African Countries,Other Africa Crude,39769,2510684,63.13,0.0089
2006,Africa,Tunisia,Tunisia Crude,9569,609639,63.71,0.0021
2006,Asia,Other Asian Countries,Other Asia Crude,218,17365,79.66,0
2006,Asia,VietNam,Bach Ho,2001,128181,64.05,4e-4
2006,Asia,VietNam,Other Vietnam Crude,987,68039,68.93,2e-4
