month_year,region,volume,total_value,cif_price,prop_of_total_imports
2005-01-01,Middle East,76786,2816320,36.68,0.1989
2005-01-01,Africa,75902,3228585,42.54,0.1966
2005-01-01,FSU,131555,5173660,39.33,0.3408
2005-01-01,Europe,93099,4093273,43.97,0.24109999999999998
2005-01-01,America,8725,262713,30.11,0.0226
2005-01-01,World,386066,15574551,40.34,1
2005-02-01,Middle East,67825,2735384,40.33,0.19469999999999998
2005-02-01,Africa,58142,2581245,44.4,0.16690000000000002
2005-02-01,FSU,129055,5324344,41.26,0.3704
2005-02-01,Europe,82400,3748727,45.49,0.2365
2005-02-01,America,10992,349508,31.8,0.0315
2005-02-01,World,348415,14739209,42.3,1
2005-03-01,Middle East,66902,3085112,46.11,0.1804
2005-03-01,Africa,63891,3286544,51.44,0.1723
2005-03-01,FSU,137896,6585157,47.75,0.37189999999999995
2005-03-01,Europe,92963,4866610,52.35,0.2507
2005-03-01,America,9170,335870,36.63,0.024700000000000003
2005-03-01,World,370821,18159293,48.97,1
2005-04-01,Middle East,69703,3310646,47.5,0.1918
2005-04-01,Africa,62039,3227482,52.02,0.1707
2005-04-01,FSU,137316,6508645,47.4,0.3778
2005-04-01,Europe,87447,4478482,51.21,0.24059999999999998
2005-04-01,America,6989,257754,36.88,0.0192
2005-04-01,World,363494,17783009,48.92,1
2005-05-01,Middle East,74177,3299160,44.48,0.19190000000000002
2005-05-01,Africa,72553,3519255,48.51,0.1877
2005-05-01,FSU,145356,6560509,45.13,0.3761
2005-05-01,Europe,84631,4077224,48.18,0.21899999999999997
2005-05-01,America,9775,347390,35.54,0.0253
2005-05-01,World,386492,17803537,46.06,1
2005-06-01,Middle East,68784,3353565,48.75,0.1998
2005-06-01,Africa,58412,3053708,52.28,0.1696
2005-06-01,FSU,124222,6297571,50.7,0.3608
2005-06-01,Europe,80352,4284413,53.32,0.2334
2005-06-01,America,12558,518423,41.28,0.0365
2005-06-01,World,344327,17507681,50.85,1
2005-07-01,Middle East,81146,4289495,52.86,0.2146
2005-07-01,Africa,68734,3912508,56.92,0.1818
2005-07-01,FSU,132977,7298536,54.89,0.3517
2005-07-01,Europe,84854,4915577,57.93,0.22440000000000002
2005-07-01,America,10378,482288,46.47,0.0274
2005-07-01,World,378088,20898404,55.27,1
2005-08-01,Middle East,80306,4605207,57.35,0.2076
2005-08-01,Africa,75710,4728881,62.46,0.1957
2005-08-01,FSU,132581,7926739,59.79,0.3427
2005-08-01,Europe,84045,5296958,63.03,0.21719999999999998
2005-08-01,America,14260,705017,49.44,0.0369
2005-08-01,World,386903,23262802,60.13,1
2005-09-01,Middle East,79855,4620983,57.87,0.21359999999999998
2005-09-01,Africa,69377,4418766,63.69,0.1856
2005-09-01,Australia,930,56806,61.05,0.0025
2005-09-01,FSU,134505,7900112,58.73,0.35979999999999995
2005-09-01,Europe,77170,4890536,63.37,0.2064
2005-09-01,America,12033,580868,48.27,0.0322
2005-09-01,World,373870,22468070,60.1,1
2005-10-01,Middle East,84613,4528805,53.52,0.2126
2005-10-01,Africa,72863,4369237,59.97,0.183
2005-10-01,Australia,322,20906,64.97,8e-4
2005-10-01,FSU,131964,7334140,55.58,0.33149999999999996
2005-10-01,Europe,92855,5536186,59.62,0.23329999999999998
2005-10-01,America,15441,738015,47.8,0.0388
2005-10-01,World,398056,22527289,56.59,1
2005-11-01,Middle East,80779,4055157,50.2,0.2118
2005-11-01,Africa,66000,3778114,57.24,0.17300000000000001
2005-11-01,Australia,1994,109351,54.85,0.0052
2005-11-01,FSU,132685,6988685,52.67,0.3479
2005-11-01,Europe,87524,4990074,57.01,0.22949999999999998
2005-11-01,America,12441,585296,47.05,0.0326
2005-11-01,World,381423,20506677,53.76,1
2005-12-01,Middle East,74437,3866090,51.94,0.18969999999999998
2005-12-01,Africa,69146,4007813,57.96,0.17620000000000002
2005-12-01,FSU,140311,7553414,53.83,0.3575
2005-12-01,Europe,97641,5643343,57.8,0.2488
2005-12-01,America,10901,475627,43.63,0.0278
2005-12-01,World,392437,21546288,54.9,1
2006-01-01,Middle East,70020,3955664,56.49,0.1813
2006-01-01,Africa,66436,4140229,62.32,0.172
2006-01-01,Australia,448,27665,61.75,0.0012
2006-01-01,FSU,143895,8452445,58.74,0.3726
2006-01-01,Europe,91832,5788639,63.04,0.2378
2006-01-01,America,13608,657788,48.34,0.0352
2006-01-01,World,386240,23022430,59.61,1
2006-02-01,Middle East,62780,3541641,56.41,0.18289999999999998
2006-02-01,Africa,62505,3843645,61.49,0.1821
2006-02-01,Australia,1327,83804,63.17,0.0039000000000000003
2006-02-01,FSU,121919,7059354,57.9,0.3552
2006-02-01,Europe,84959,5199213,61.2,0.2475
